address,chain
0xdAC17F958D2ee523a2206206994597C13D831ec7,eth
0x57e114B691Db790C35207b2e685D4A43181e6061,eth
0x514910771AF9Ca656af840dff83E8264EcF986CA,eth
0xc944E90C64B2c07662A292be6244BDf05Cda44a7,eth
0x8f187aA05619a017077f5308904739877ce9eA21,uni
0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,bsc
0x6b175474e89094c44da98b954eedeac495271d0f,eth
0x3845badade8e6dff049820680d1f14bd3903a5d0,eth
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,eth
0xaf88d065e77c8cc2239327c5edb3a432268e5831,arbitrum
0x912ce59144191c1204e64559fe8253a0e49e6548,arbitrum
0x4200000000000000000000000000000000000042,optimism
0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,polygon
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,base
0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,avalanche
